CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
018008,BARBIANELLO,PAVIA,430,195
014064,TARTANO,SONDRIO,140,70
097083,VALMADRERA,LECCO,6695,3086
019110,TRIGOLO,CREMONA,1009,594
017064,CORZANO,BRESCIA,730,318
016118,GROMO,BERGAMO,719,355
017056,COCCAGLIO,BRESCIA,4432,1957
018110,PAVIA,PAVIA,44776,23880
016170,PONTE SAN PIETRO,BERGAMO,5912,2892
020019,CERESARA,MANTOVA,1313,595
097084,VARENNA,LECCO,439,225
019056,MALAGNINO,CREMONA,1018,510
019097,SONCINO,CREMONA,4447,3009
020024,GAZOLDO DEGLI IPPOLITI,MANTOVA,1366,608
012106,MORNAGO,VARESE,2693,1145
018136,SAN GIORGIO DI LOMELLINA,PAVIA,560,332
013059,CASTELNUOVO BOZZENTE,COMO,457,197
012137,VENEGONO SUPERIORE,VARESE,3965,1663
015140,MELEGNANO,MILANO,10123,4870
013223,TORNO,COMO,670,328
016136,MOIO DE' CALVI,BERGAMO,105,63
012095,MALGESSO,VARESE,657,298
097065,PASTURO,LECCO,1219,525
014003,ANDALO VALTELLINO,SONDRIO,314,136
012034,CARONNO PERTUSELLA,VARESE,8971,3395
018051,CODEVILLA,PAVIA,504,263
098026,FOMBIO,LODI,1305,516
016241,VILLA D'OGNA,BERGAMO,1158,542
017124,ONO SAN PIETRO,BRESCIA,612,256
019076,PIZZIGHETTONE,CREMONA,3788,1859
098051,SANTO STEFANO LODIGIANO,LODI,1031,404
108032,MISINTO,MONZA E DELLA BRIANZA,3101,1221
017063,CORTENO GOLGI,BRESCIA,1179,435
017092,LONATO DEL GARDA,BRESCIA,8323,3529
017034,CALVISANO,BRESCIA,4041,1678
015210,SETTALA,MILANO,3843,1579
018133,SAN CIPRIANO PO,PAVIA,219,84
014031,GEROLA ALTA,SONDRIO,98,56
097056,NIBIONNO,LECCO,2351,967
013212,SENNA COMASCO,COMO,1850,774
013023,BINAGO,COMO,2582,1056
012055,COMERIO,VARESE,1626,823
097036,GALBIATE,LECCO,5204,2443
014012,CAMPODOLCINO,SONDRIO,508,221
013183,PIANELLO DEL LARIO,COMO,623,331
017037,CAPRIANO DEL COLLE,BRESCIA,2788,1109
020033,MARMIROLO,MANTOVA,3997,1814
018015,BORGARELLO,PAVIA,1510,730
016245,ZANICA,BERGAMO,4544,1937
016002,ADRARA SAN ROCCO,BERGAMO,432,168
098047,SAN FIORANO,LODI,1103,440
015118,LEGNANO,MILANO,32488,15406
097019,CASTELLO DI BRIANZA,LECCO,1508,561
013025,BLESSAGNO,COMO,151,59
017023,BOTTICINO,BRESCIA,6618,2838
013120,LAINO,COMO,279,98
014047,PEDESINA,SONDRIO,25,15
017173,SAN ZENO NAVIGLIO,BRESCIA,2719,1232
097023,COLICO,LECCO,4247,1962
098020,COMAZZO,LODI,1110,435
018009,BASCAPE',PAVIA,977,445
020022,DOSOLO,MANTOVA,1659,813
016162,PIANICO,BERGAMO,861,387
017199,VILLA CARCINA,BRESCIA,6197,2903
012098,MARNATE,VARESE,4107,1799
013249,GRAVEDONA ED UNITI,COMO,2390,1151
098018,CERVIGNANO D'ADDA,LODI,1241,491
108035,NOVA MILANESE,MONZA E DELLA BRIANZA,12247,5204
098004,BORGHETTO LODIGIANO,LODI,2449,1134
108002,AICURZIO,MONZA E DELLA BRIANZA,1221,524
015009,ARESE,MILANO,11983,4960
015183,ROBECCHETTO CON INDUNO,MILANO,2549,989
020041,PIUBEGA,MANTOVA,808,373
016251,SOLZA,BERGAMO,1004,389
015249,VANZAGHELLO,MILANO,2679,1154
016096,FARA GERA D'ADDA,BERGAMO,4045,1756
018160,TORREVECCHIA PIA,PAVIA,1708,714
016157,PALOSCO,BERGAMO,3154,1855
013159,MOZZATE,COMO,4535,1876
019037,CREMOSANO,CREMONA,912,390
018069,GARLASCO,PAVIA,5032,2276
015157,NOVATE MILANESE,MILANO,12030,5143
015082,COLTURANO,MILANO,994,394
018085,MAGHERNO,PAVIA,958,440
017190,TRENZANO,BRESCIA,2765,1261
012021,BRINZIO,VARESE,507,227
097059,OLGINATE,LECCO,4189,1928
012128,TRAVEDONA-MONATE,VARESE,2170,1003
108030,MEDA,MONZA E DELLA BRIANZA,13134,5786
018156,TORRE BERETTI E CASTELLARO,PAVIA,230,94
012104,MONVALLE,VARESE,1018,412
016211,TAVERNOLA BERGAMASCA,BERGAMO,1312,898
012024,BRUSIMPIANO,VARESE,513,196
018148,SEMIANA,PAVIA,112,59
014077,VILLA DI CHIAVENNA,SONDRIO,498,195
016183,ROMANO DI LOMBARDIA,BERGAMO,10639,5103
018050,CILAVEGNA,PAVIA,3011,1376
018048,CHIGNOLO PO,PAVIA,2035,1010
