"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"017003","Agnosine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1644,"e","dato stimato"
"012001","Agra","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",401,"e","dato stimato"
"108001","Agrate Brianza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",15189,"e","dato stimato"
"108002","Aicurzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2080,"e","dato stimato"
"097002","Airuno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2782,"e","dato stimato"
"018001","Alagna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",797,"e","dato stimato"
"015005","Albairate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4669,"e","dato stimato"
"016003","Albano Sant'Alessandro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",8263,"e","dato stimato"
"018002","Albaredo Arnaboldi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",234,"e","dato stimato"
"014001","Albaredo per San Marco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",286,"e","dato stimato"
"013003","Albavilla","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6362,"e","dato stimato"
"013004","Albese con Cassano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",4130,"e","dato stimato"
"108003","Albiate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",6428,"e","dato stimato"
"016004","Albino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",17529,"e","dato stimato"
"013005","Albiolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",2683,"e","dato stimato"
"012002","Albizzate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",5217,"e","dato stimato"
"013006","Alserio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2021","2021",1267,"e","dato stimato"
